0,0.11,0.254,0.073,0.066,0.07,0.106,0.051,0.054,0.088,0.046,0.08,0,0,0,0,0,0,0,0,0,0,0,0
0.112,0,0.225,0.093,0.066,0.077,0.091,0.053,0.056,0.092,0.049,0.084,0,0,0,0,0,0,0,0,0,0,0,0
0.13,0.113,0.001,0.086,0.078,0.085,0.157,0.057,0.061,0.096,0.051,0.086,0,0,0,0,0,0,0,0,0,0,0,0
0.077,0.095,0.175,0,0.075,0.105,0.081,0.064,0.067,0.106,0.058,0.096,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0.067,0.066,0.155,0.073,0,0.104,0.084,0.076,0.093,0.119,0.062,0.1
0.068,0.074,0.163,0.098,0.099,0,0.082,0.071,0.079,0.11,0.06,0.096,0,0,0,0,0,0,0,0,0,0,0,0
0.097,0.082,0.28,0.07,0.075,0.076,0,0.052,0.057,0.088,0.046,0.078,0,0,0,0,0,0,0,0,0,0,0,0
0.05,0.051,0.108,0.06,0.073,0.071,0.055,0,0.124,0.177,0.103,0.127,0,0,0,0,0,0,0,0,0,0,0,0
0.054,0.055,0.119,0.064,0.092,0.081,0.062,0.126,0,0.151,0.081,0.116,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0.052,0.053,0.11,0.059,0.068,0.066,0.056,0.105,0.088,0.001,0.134,0.207
0.046,0.048,0.099,0.056,0.061,0.062,0.05,0.105,0.081,0.23,0,0.162,0,0,0,0,0,0,0,0,0,0,0,0
0.055,0.056,0.115,0.062,0.067,0.067,0.058,0.089,0.079,0.241,0.11,0.001,0,0,0,0,0,0,0,0,0,0,0,0
0,0.11,0.254,0.073,0.066,0.07,0.106,0.051,0.054,0.088,0.046,0.08,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0.112,0,0.225,0.093,0.066,0.077,0.091,0.053,0.056,0.092,0.049,0.084
0,0,0,0,0,0,0,0,0,0,0,0,0.13,0.113,0.001,0.086,0.078,0.085,0.157,0.057,0.061,0.096,0.051,0.086
0,0,0,0,0,0,0,0,0,0,0,0,0.077,0.095,0.175,0,0.075,0.105,0.081,0.064,0.067,0.106,0.058,0.096
0,0,0,0,0,0,0,0,0,0,0,0,0.067,0.066,0.155,0.073,0,0.104,0.084,0.076,0.093,0.119,0.062,0.1
0.068,0.074,0.163,0.098,0.099,0,0.082,0.071,0.079,0.11,0.06,0.096,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0.097,0.082,0.28,0.07,0.075,0.076,0,0.052,0.057,0.088,0.046,0.078
0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.051,0.108,0.06,0.073,0.071,0.055,0,0.124,0.177,0.103,0.127
0,0,0,0,0,0,0,0,0,0,0,0,0.054,0.055,0.119,0.064,0.092,0.081,0.062,0.126,0,0.151,0.081,0.116
0,0,0,0,0,0,0,0,0,0,0,0,0.052,0.053,0.11,0.059,0.068,0.066,0.056,0.105,0.088,0.001,0.134,0.207
0.046,0.048,0.099,0.056,0.061,0.062,0.05,0.105,0.081,0.23,0,0.162,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0.055,0.056,0.115,0.062,0.067,0.067,0.058,0.089,0.079,0.241,0.11,0.001